Date,WIP,,Date,,,,date,all_wpd,,Date,,,Date,WIP,MOVE,,Date,WIP,MOVE
2022/1/13,0,,2021/9/17,,,,2022/7/21,4608,,2021/9/17,,,2021/10/9,16419,3811,,2021/10/9,16419,3811
2022/1/13,167,,2021/9/18,,,,2022/7/21,5188,,2021/9/18,,,2021/10/10,37241,10188,,2021/10/10,37241,10188
2022/1/13,0,,2021/9/19,,,,2022/7/21,5645,,2021/9/19,,,2021/10/11,32284,4526,,2021/10/11,32284,4526
2022/1/13,0,,2021/9/20,,,,2022/7/21,5002,,2021/9/20,,,2021/10/12,36094,0,,2021/10/12,36094,4526
2022/1/13,67,,2021/9/21,,,,2021/11/25,5746,,2021/9/21,,,2021/10/13,49713,0,,2021/10/13,49713,4526
2022/1/13,0,,2021/9/22,,,,2021/11/25,5862,,2021/9/22,,,2021/10/14,23547,6726,,2021/10/14,23547,6726
2022/1/13,0,,2021/9/23,,,,2021/11/25,0,,2021/9/23,,,2021/10/15,27552,0,,2021/10/15,27552,6726
2022/7/3,839,,2021/9/24,,,,2021/11/7,4712,,2021/9/24,,,2021/10/16,44356,19198,,2021/10/16,44356,19198
2022/7/3,0,,2021/9/25,,,,2021/9/16,4740,,2021/9/25,,,2021/10/17,3542,4591,,2021/10/17,3542,4591
2022/7/3,0,,2021/9/26,,,,2021/9/16,5952,,2021/9/26,,,2021/10/18,28456,11496,,2021/10/18,28456,11496
2022/7/3,1107,,2021/9/27,,,,2021/11/17,5732,,2021/9/27,,,2021/10/19,20882,0,,2021/10/19,20882,11496
2022/7/3,25,,2021/9/28,,,,2021/11/17,6076,,2021/9/28,,,2021/10/20,13811,5241,,2021/10/20,13811,5241
2022/7/3,21,,2021/9/29,,,,2021/8/23,5546,,2021/9/29,,,2021/10/21,16397,5241,,2021/10/21,16397,5241
2022/7/3,705,,2021/9/30,,,,2021/9/22,5563,,2021/9/30,,,2021/10/22,25383,10747,,2021/10/22,25383,10747
2022/7/3,80,,2021/10/1,,,,2021/9/22,5819,,2021/10/1,,,2021/10/23,8920,0,,2021/10/23,8920,10747
2022/4/22,0,,2021/10/2,,,,2022/8/3,5598,,2021/10/2,,,2021/10/24,31520,0,,2021/10/24,31520,10747
2022/6/26,0,,2021/10/3,,,,2022/8/3,5057,,2021/10/3,,,2021/10/25,25053,5072,,2021/10/25,25053,5072
2022/6/26,0,,2021/10/4,,,,2021/12/17,4116,,2021/10/4,,,2021/10/26,25204,5395,,2021/10/26,25204,5395
2022/6/26,141,,2021/10/5,,,,2021/12/17,5663,,2021/10/5,,,2021/10/27,2766,0,,2021/10/27,2766,5395
2022/6/26,197,,2021/10/6,,,,2022/2/21,5161,,2021/10/6,,,2021/10/28,14276,4268,,2021/10/28,14276,4268
2022/6/26,124,,2021/10/7,,,,2022/2/21,3856,,2021/10/7,,,2021/10/29,24018,5422,,2021/10/29,24018,5422
2022/6/26,144,,2021/10/8,,,,2021/9/15,4499,,2021/10/8,,,2021/10/30,17178,20281,,2021/10/30,17178,20281
2022/6/26,0,,2021/10/9,,,,2021/9/15,5542,,2021/10/9,,,2021/10/31,1629,15197,,2021/10/31,1629,15197
2022/6/26,0,,2021/10/10,,,,2022/4/30,5340,,2021/10/10,,,2021/11/1,20306,0,,2021/11/1,20306,15197
2022/1/13,96,,2021/10/11,,,,2022/4/30,4136,,2021/10/11,,,2021/11/2,26055,8160,,2021/11/2,26055,8160
2022/1/13,25,,2021/10/12,,,,2022/4/12,5110,,2021/10/12,,,2021/11/3,39607,5153,,2021/11/3,39607,5153
2022/1/13,25,,2021/10/13,,,,2021/10/28,4268,,2021/10/13,,,2021/11/4,6643,0,,2021/11/4,6643,5153
2021/12/18,371,,2021/10/14,,,,2022/2/1,5088,,2021/10/14,,,2021/11/5,0,4877,,2021/11/5,6643,4877
2021/12/18,0,,2021/10/15,,,,2021/12/29,3093,,2021/10/15,,,2021/11/6,11675,4316,,2021/11/6,11675,4316
2021/12/18,0,,2021/10/16,,,,2021/12/29,4650,,2021/10/16,,,2021/11/7,16782,4712,,2021/11/7,16782,4712
2022/7/3,125,,2021/10/17,,,,2021/12/29,5506,,2021/10/17,,,2021/11/8,25250,10111,,2021/11/8,25250,10111
2022/7/3,346,,2021/10/18,,,,2021/12/29,5781,,2021/10/18,,,2021/11/9,12153,0,,2021/11/9,12153,10111
2022/7/3,92,,2021/10/19,,,,2021/10/11,4526,,2021/10/19,,,2021/11/10,17902,12718,,2021/11/10,17902,12718
2022/7/3,0,,2021/10/20,,,,2022/3/31,5357,,2021/10/20,,,2021/11/11,12722,0,,2021/11/11,12722,12718
2022/7/3,50,,2021/10/21,,,,2022/3/31,5818,,2021/10/21,,,2021/11/12,20986,15440,,2021/11/12,20986,15440
2022/7/3,686,,2021/10/22,,,,2022/3/31,5171,,2021/10/22,,,2021/11/13,42005,11211,,2021/11/13,42005,11211
2022/7/3,375,,2021/10/23,,,,2021/10/6,5115,,2021/10/23,,,2021/11/14,7547,0,,2021/11/14,7547,11211
2022/6/26,224,,2021/10/24,,,,2021/10/6,3753,,2021/10/24,,,2021/11/15,21510,7348,,2021/11/15,21510,7348
2022/6/26,596,,2021/10/25,,,,2022/5/29,5239,,2021/10/25,,,2021/11/16,14169,25416,,2021/11/16,14169,25416
2022/6/26,387,,2021/10/26,,,,2022/5/29,5256,,2021/10/26,,,2021/11/17,19193,11808,,2021/11/17,19193,11808
2022/6/26,50,,2021/10/27,,,,2022/5/29,5252,,2021/10/27,,,2021/11/18,19045,6070,,2021/11/18,19045,6070
2022/6/26,482,,2021/10/28,,,,2021/11/26,5517,,2021/10/28,,,2021/11/19,1190,13253,,2021/11/19,1190,13253
2022/6/26,0,,2021/10/29,,,,2022/5/23,5609,,2021/10/29,,,2021/11/20,25926,0,,2021/11/20,25926,13253
2022/6/26,792,,2021/10/30,,,,2022/5/23,5433,,2021/10/30,,,2021/11/21,26048,3816,,2021/11/21,26048,3816
2022/6/26,25,,2021/10/31,,,,2022/5/23,5120,,2021/10/31,,,2021/11/22,16531,5324,,2021/11/22,16531,5324
2022/8/14,119,,2021/11/1,,,,2021/9/30,5383,,2021/11/1,,,2021/11/23,7652,8737,,2021/11/23,7652,8737
2022/8/14,75,,2021/11/2,,,,2022/5/13,5201,,2021/11/2,,,2021/11/24,16253,14820,,2021/11/24,16253,14820
2022/8/14,100,,2021/11/3,,,,2022/5/13,5646,,2021/11/3,,,2021/11/25,13126,11608,,2021/11/25,13126,11608
2022/8/14,25,,2021/11/4,,,,2021/9/11,5615,,2021/11/4,,,2021/11/26,20564,5517,,2021/11/26,20564,5517
2022/8/14,470,,2021/11/5,,,,2021/8/25,4980,,2021/11/5,,,2021/11/27,13100,0,,2021/11/27,13100,5517
2022/8/14,200,,2021/11/6,,,,2021/8/25,4307,,2021/11/6,,,2021/11/28,27729,8817,,2021/11/28,27729,8817
2022/8/14,279,,2021/11/7,,,,2021/8/25,0,,2021/11/7,,,2021/11/29,28128,0,,2021/11/29,28128,8817
2022/8/14,150,,2021/11/8,,,,2022/5/5,5013,,2021/11/8,,,2021/11/30,8794,5307,,2021/11/30,8794,5307
2021/9/18,752,,2021/11/9,,,,2021/12/4,5103,,2021/11/9,,,2021/12/1,46370,5063,,2021/12/1,46370,5063
2021/9/18,0,,2021/11/10,,,,2021/12/4,0,,2021/11/10,,,2021/12/2,15907,3470,,2021/12/2,15907,3470
2021/9/18,0,,2021/11/11,,,,2021/10/3,5137,,2021/11/11,,,2021/12/3,23690,0,,2021/12/3,23690,3470
2021/9/18,0,,2021/11/12,,,,2021/10/3,4531,,2021/11/12,,,2021/12/4,3176,5103,,2021/12/4,3176,5103
2021/9/18,0,,2021/11/13,,,,2021/10/3,5417,,2021/11/13,,,2021/12/5,0,15156,,2021/12/5,3176,15156
2021/9/18,0,,2021/11/14,,,,2021/10/3,5233,,2021/11/14,,,2021/12/6,28008,15265,,2021/12/6,28008,15265
2021/9/18,0,,2021/11/15,,,,2021/12/19,6156,,2021/11/15,,,2021/12/7,14961,15425,,2021/12/7,14961,15425
2021/12/18,0,,2021/11/16,,,,2021/12/19,4783,,2021/11/16,,,2021/12/8,36467,6728,,2021/12/8,36467,6728
2021/12/18,50,,2021/11/17,,,,2021/12/12,4850,,2021/11/17,,,2021/12/9,11232,0,,2021/12/9,11232,6728
2021/12/18,0,,2021/11/18,,,,2022/5/9,3492,,2021/11/18,,,2021/12/10,12919,0,,2021/12/10,12919,6728
2021/12/18,561,,2021/11/19,,,,2022/5/9,4963,,2021/11/19,,,2021/12/11,21323,23862,,2021/12/11,21323,23862
2021/12/18,170,,2021/11/20,,,,2022/5/9,4639,,2021/11/20,,,2021/12/12,0,4850,,2021/12/12,21323,4850
