date,all_wpd,,,move,,Date,WIP,,,WIP,,DATE,move,WIP
2022/5/8,5078,,,,,2021/9/9,394,,,,,,,
2022/5/8,6016,,,,,2021/9/9,0,,,,,,,
2022/7/9,5572,,,,,2021/9/9,0,,,,,,,
2022/7/9,5742,,,,,2021/9/9,0,,,,,,,
2022/5/18,5580,,,,,2022/2/4,375,,,,,,,
2022/5/18,25,,,,,2022/2/4,25,,,,,,,
2022/5/18,5141,,,,,2022/2/4,2044,,,,,,,
2022/2/2,6036,,,,,2021/10/16,1046,,,,,,,
2022/2/2,5783,,,,,2021/10/16,0,,,,,,,
2022/2/2,3779,,,,,2021/10/16,525,,,,,,,
2022/2/2,284,,,,,2021/11/3,75,,,,,,,
2022/7/15,5592,,,,,2021/11/3,24,,,,,,,
2022/7/15,5467,,,,,2021/11/3,569,,,,,,,
2022/6/21,5231,,,,,2021/9/9,96,,,,,,,
2022/6/21,5267,,,,,2021/9/9,150,,,,,,,
2022/6/21,5738,,,,,2021/9/9,0,,,,,,,
2022/2/4,5780,,,,,2021/9/9,25,,,,,,,
2022/2/4,4419,,,,,2021/9/9,325,,,,,,,
2022/2/4,2418,,,,,2022/2/4,0,,,,,,,
2022/2/24,3953,,,,,2022/2/4,46,,,,,,,
2022/6/12,5679,,,,,2022/2/4,0,,,,,,,
2022/6/12,5806,,,,,2022/2/4,0,,,,,,,
2022/6/5,5191,,,,,2021/11/26,50,,,,,,,
2022/6/5,5641,,,,,2021/11/26,0,,,,,,,
2022/6/5,5309,,,,,2021/11/26,214,,,,,,,
2022/3/20,0,,,,,2021/11/26,367,,,,,,,
2022/3/20,5479,,,,,2021/11/3,25,,,,,,,
2022/3/20,5107,,,,,2021/11/3,0,,,,,,,
2022/2/7,5527,,,,,2021/11/3,0,,,,,,,
2022/2/7,3265,,,,,2021/10/26,100,,,,,,,
2022/7/17,5440,,,,,2021/10/26,165,,,,,,,
2022/7/17,5415,,,,,2021/10/26,445,,,,,,,
2022/5/14,6132,,,,,2021/10/26,50,,,,,,,
2022/5/14,5226,,,,,2022/2/4,1354,,,,,,,
2022/5/14,5395,,,,,2022/2/4,475,,,,,,,
2022/5/14,5740,,,,,2021/11/26,1130,,,,,,,
2022/2/17,4804,,,,,2021/11/26,25,,,,,,,
2022/2/17,5422,,,,,2021/11/26,25,,,,,,,
2022/6/4,5486,,,,,2021/11/26,0,,,,,,,
2022/6/4,4925,,,,,2021/11/3,150,,,,,,,
2022/6/4,5898,,,,,2021/11/3,175,,,,,,,
2022/7/6,2650,,,,,2021/11/4,142,,,,,,,
2022/7/6,5491,,,,,2021/10/16,425,,,,,,,
2022/3/7,2550,,,,,2021/10/26,125,,,,,,,
2022/3/7,6028,,,,,2021/10/26,100,,,,,,,
2022/3/7,5460,,,,,2021/10/26,25,,,,,,,
2022/2/26,6017,,,,,2021/10/26,298,,,,,,,
2022/2/26,5026,,,,,2021/11/26,350,,,,,,,
2022/2/26,4103,,,,,2021/11/26,175,,,,,,,
2022/7/23,5837,,,,,2021/11/26,125,,,,,,,
2022/7/23,4461,,,,,2021/10/16,50,,,,,,,
2022/7/23,4603,,,,,2021/10/16,25,,,,,,,
2022/6/26,1256,,,,,2021/10/16,0,,,,,,,
2022/6/26,5792,,,,,2021/10/16,0,,,,,,,
2022/6/26,2321,,,,,2021/10/16,1075,,,,,,,
2022/6/26,6070,,,,,2021/10/16,525,,,,,,,
2022/6/26,5491,,,,,2021/10/26,0,,,,,,,
2022/7/14,5568,,,,,2021/10/10,175,,,,,,,
2022/7/14,5621,,,,,2022/5/4,648,,,,,,,
2022/7/14,5928,,,,,2021/11/26,539,,,,,,,
2022/7/14,4823,,,,,2021/11/26,625,,,,,,,
2022/5/6,4765,,,,,2021/11/26,125,,,,,,,
2022/4/7,2026,,,,,2021/10/16,125,,,,,,,
2022/4/7,5036,,,,,2021/10/16,438,,,,,,,
2022/4/7,5396,,,,,2021/10/16,100,,,,,,,
2022/7/11,5747,,,,,2021/10/16,21,,,,,,,
2022/7/11,4064,,,,,2021/10/16,0,,,,,,,
2022/5/24,5169,,,,,2021/10/10,460,,,,,,,
2022/5/24,4844,,,,,2021/10/10,0,,,,,,,
2022/5/24,5194,,,,,2021/9/1,99,,,,,,,
2022/5/24,6009,,,,,2021/9/1,21,,,,,,,
2022/7/3,5260,,,,,2021/9/1,46,,,,,,,
2022/7/3,5526,,,,,2021/9/1,200,,,,,,,
2022/7/3,5326,,,,,2022/5/4,0,,,,,,,
2022/8/1,5953,,,,,2022/5/4,0,,,,,,,
2022/8/1,4462,,,,,2022/5/4,70,,,,,,,
2022/8/1,5425,,,,,2022/5/4,522,,,,,,,
2022/8/1,5634,,,,,2022/5/4,327,,,,,,,
,,,,,,2022/5/4,100,,,,,,,
,,,,,,2022/5/4,50,,,,,,,
,,,,,,2021/12/11,0,,,,,,,
,,,,,,2021/12/11,700,,,,,,,
,,,,,,2021/10/16,375,,,,,,,
,,,,,,2021/10/16,25,,,,,,,
,,,,,,2021/10/16,0,,,,,,,
,,,,,,2021/10/16,100,,,,,,,
,,,,,,2021/10/16,50,,,,,,,
,,,,,,2021/10/12,225,,,,,,,
,,,,,,2021/10/12,0,,,,,,,
,,,,,,2021/10/10,836,,,,,,,
,,,,,,2021/10/10,100,,,,,,,
,,,,,,2021/10/10,1623,,,,,,,
,,,,,,2021/10/10,274,,,,,,,
,,,,,,2021/10/10,50,,,,,,,
,,,,,,2021/10/10,25,,,,,,,
,,,,,,2021/10/10,0,,,,,,,
,,,,,,2021/10/10,25,,,,,,,
,,,,,,2021/9/1,0,,,,,,,
,,,,,,2021/9/1,0,,,,,,,
,,,,,,2021/9/1,0,,,,,,,
,,,,,,2021/9/1,25,,,,,,,
,,,,,,2021/9/1,0,,,,,,,
,,,,,,2022/3/7,50,,,,,,,
,,,,,,2022/5/4,1178,,,,,,,
,,,,,,2022/5/4,1235,,,,,,,
,,,,,,2022/5/4,432,,,,,,,
,,,,,,2022/5/4,25,,,,,,,
,,,,,,2021/10/19,1200,,,,,,,
,,,,,,2021/10/19,0,,,,,,,
,,,,,,2021/10/19,760,,,,,,,
,,,,,,2021/10/19,375,,,,,,,
,,,,,,2021/10/19,0,,,,,,,
,,,,,,2021/12/11,329,,,,,,,
,,,,,,2021/12/11,24,,,,,,,
,,,,,,2021/12/11,300,,,,,,,
,,,,,,2021/12/11,25,,,,,,,
,,,,,,2021/12/11,50,,,,,,,
,,,,,,2021/12/11,0,,,,,,,
,,,,,,2021/12/11,0,,,,,,,
,,,,,,2021/12/11,25,,,,,,,
,,,,,,2021/10/12,1425,,,,,,,
,,,,,,2021/10/12,0,,,,,,,
,,,,,,2021/10/12,700,,,,,,,
,,,,,,2021/10/12,0,,,,,,,
,,,,,,2021/10/12,166,,,,,,,
,,,,,,2021/10/10,934,,,,,,,
,,,,,,2021/10/10,0,,,,,,,
,,,,,,2022/3/7,447,,,,,,,
,,,,,,2022/3/7,25,,,,,,,
,,,,,,2022/3/7,75,,,,,,,
,,,,,,2022/5/4,0,,,,,,,
,,,,,,2021/8/23,75,,,,,,,
,,,,,,2021/8/23,0,,,,,,,
,,,,,,2021/10/19,0,,,,,,,
,,,,,,2021/10/19,117,,,,,,,
,,,,,,2021/10/19,100,,,,,,,
,,,,,,2021/10/19,586,,,,,,,
,,,,,,2021/10/19,325,,,,,,,
,,,,,,2021/12/11,0,,,,,,,
,,,,,,2021/12/11,75,,,,,,,
,,,,,,2021/12/11,671,,,,,,,
,,,,,,2021/12/11,450,,,,,,,
,,,,,,2021/12/11,0,,,,,,,
,,,,,,2021/12/11,25,,,,,,,
,,,,,,2021/10/12,25,,,,,,,
,,,,,,2021/10/12,1350,,,,,,,
,,,,,,2021/10/12,21,,,,,,,
,,,,,,2021/10/12,23,,,,,,,
,,,,,,2021/10/12,299,,,,,,,
,,,,,,2021/10/12,0,,,,,,,
,,,,,,2022/3/7,150,,,,,,,
,,,,,,2022/3/7,150,,,,,,,
,,,,,,2022/3/7,0,,,,,,,
,,,,,,2022/3/7,346,,,,,,,
,,,,,,2022/3/7,150,,,,,,,
,,,,,,2021/8/23,75,,,,,,,
,,,,,,2021/8/23,76,,,,,,,
,,,,,,2021/10/19,399,,,,,,,
,,,,,,2021/10/19,124,,,,,,,
,,,,,,2021/10/19,98,,,,,,,
,,,,,,2021/10/19,575,,,,,,,
,,,,,,2021/10/19,0,,,,,,,
,,,,,,2021/10/19,414,,,,,,,
,,,,,,2021/12/11,75,,,,,,,
,,,,,,2021/12/11,21,,,,,,,
,,,,,,2021/12/11,25,,,,,,,
,,,,,,2021/12/11,0,,,,,,,
,,,,,,2021/12/12,150,,,,,,,
,,,,,,2021/10/12,0,,,,,,,
,,,,,,2021/10/12,450,,,,,,,
,,,,,,2021/10/12,551,,,,,,,
,,,,,,2021/10/12,50,,,,,,,
,,,,,,2022/3/7,1193,,,,,,,
,,,,,,2022/3/7,925,,,,,,,
,,,,,,2022/3/7,100,,,,,,,
,,,,,,2022/3/8,75,,,,,,,
,,,,,,2021/8/23,500,,,,,,,
,,,,,,2021/8/23,21,,,,,,,
,,,,,,2021/8/23,9,,,,,,,
,,,,,,2021/10/19,0,,,,,,,
,,,,,,2021/10/19,1219,,,,,,,
,,,,,,2021/10/19,200,,,,,,,
,,,,,,2021/11/28,0,,,,,,,
,,,,,,2021/11/28,502,,,,,,,
,,,,,,2021/11/28,492,,,,,,,
,,,,,,2021/11/28,500,,,,,,,
,,,,,,2021/9/27,55,,,,,,,
,,,,,,2021/9/27,292,,,,,,,
,,,,,,2021/9/27,958,,,,,,,
,,,,,,2021/9/27,100,,,,,,,
,,,,,,2021/9/27,0,,,,,,,
,,,,,,2021/9/27,25,,,,,,,
,,,,,,2021/9/27,54,,,,,,,
,,,,,,2021/9/27,550,,,,,,,
,,,,,,2021/8/23,25,,,,,,,
,,,,,,2021/8/23,25,,,,,,,
,,,,,,2021/11/28,930,,,,,,,
,,,,,,2021/11/28,225,,,,,,,
,,,,,,2021/11/28,221,,,,,,,
,,,,,,2021/11/28,175,,,,,,,
,,,,,,2021/11/28,75,,,,,,,
,,,,,,2021/9/27,255,,,,,,,
,,,,,,2021/9/27,51,,,,,,,
,,,,,,2021/9/27,483,,,,,,,
,,,,,,2021/12/24,0,,,,,,,
,,,,,,2021/12/24,0,,,,,,,
,,,,,,2021/12/24,0,,,,,,,
,,,,,,2021/11/28,0,,,,,,,
,,,,,,2021/9/27,96,,,,,,,
,,,,,,2021/9/27,195,,,,,,,
,,,,,,2021/9/27,46,,,,,,,
,,,,,,2021/9/27,0,,,,,,,
,,,,,,2021/9/27,21,,,,,,,
,,,,,,2021/9/27,0,,,,,,,
,,,,,,2021/12/24,26,,,,,,,
,,,,,,2021/12/24,976,,,,,,,
,,,,,,2021/12/24,50,,,,,,,
,,,,,,2021/12/24,100,,,,,,,
,,,,,,2021/12/24,650,,,,,,,
,,,,,,2021/12/24,175,,,,,,,
,,,,,,2022/2/19,0,,,,,,,
,,,,,,2022/2/19,191,,,,,,,
,,,,,,2022/2/19,0,,,,,,,
,,,,,,2021/11/28,467,,,,,,,
,,,,,,2021/9/3,475,,,,,,,
,,,,,,2021/9/3,300,,,,,,,
,,,,,,2021/9/3,99,,,,,,,
,,,,,,2021/9/2,0,,,,,,,
,,,,,,2021/12/24,0,,,,,,,
,,,,,,2021/12/24,124,,,,,,,
,,,,,,2021/12/24,38,,,,,,,
,,,,,,2021/8/29,125,,,,,,,
,,,,,,2021/8/29,166,,,,,,,
,,,,,,2021/8/29,24,,,,,,,
,,,,,,2021/8/29,713,,,,,,,
,,,,,,2021/8/23,0,,,,,,,
,,,,,,2021/8/23,196,,,,,,,
,,,,,,2022/2/19,150,,,,,,,
,,,,,,2022/2/19,192,,,,,,,
,,,,,,2022/2/19,0,,,,,,,
,,,,,,2022/1/14,0,,,,,,,
,,,,,,2022/1/14,146,,,,,,,
,,,,,,2022/1/14,200,,,,,,,
,,,,,,2022/1/14,600,,,,,,,
,,,,,,2022/1/14,0,,,,,,,
,,,,,,2022/1/14,25,,,,,,,
,,,,,,2022/1/14,0,,,,,,,
,,,,,,2021/9/3,200,,,,,,,
,,,,,,2021/9/3,0,,,,,,,
,,,,,,2021/9/3,0,,,,,,,
,,,,,,2021/9/3,0,,,,,,,
,,,,,,2021/9/2,0,,,,,,,
,,,,,,2021/9/2,700,,,,,,,
,,,,,,2021/9/2,537,,,,,,,
,,,,,,2021/9/2,275,,,,,,,
,,,,,,2021/9/2,0,,,,,,,
,,,,,,2021/9/2,50,,,,,,,
,,,,,,2021/9/2,0,,,,,,,
,,,,,,2021/9/2,0,,,,,,,
,,,,,,2021/9/2,545,,,,,,,
,,,,,,2021/12/24,196,,,,,,,
,,,,,,2021/12/24,125,,,,,,,
,,,,,,2021/12/24,224,,,,,,,
,,,,,,2021/12/24,0,,,,,,,
,,,,,,2021/12/24,396,,,,,,,
,,,,,,2021/12/24,0,,,,,,,
,,,,,,2021/12/24,500,,,,,,,
,,,,,,2021/10/8,1321,,,,,,,
,,,,,,2021/8/29,85,,,,,,,
,,,,,,2021/8/29,475,,,,,,,
,,,,,,2021/8/23,250,,,,,,,
,,,,,,2021/8/23,275,,,,,,,
,,,,,,2021/8/23,75,,,,,,,
,,,,,,2021/8/23,50,,,,,,,
,,,,,,2021/8/23,656,,,,,,,
,,,,,,2021/8/23,481,,,,,,,
,,,,,,2022/2/19,0,,,,,,,
,,,,,,2022/2/19,75,,,,,,,
,,,,,,2022/2/19,25,,,,,,,
,,,,,,2022/2/19,175,,,,,,,
,,,,,,2022/2/19,21,,,,,,,
,,,,,,2022/2/19,186,,,,,,,
,,,,,,2022/2/19,620,,,,,,,
,,,,,,2022/1/14,300,,,,,,,
,,,,,,2022/1/14,50,,,,,,,
,,,,,,2022/1/14,225,,,,,,,
,,,,,,2022/1/14,441,,,,,,,
,,,,,,2022/1/14,0,,,,,,,
,,,,,,2022/1/14,216,,,,,,,
,,,,,,2021/9/3,0,,,,,,,
,,,,,,2021/9/3,0,,,,,,,
,,,,,,2021/9/3,0,,,,,,,
,,,,,,2021/9/3,0,,,,,,,
,,,,,,2021/9/3,21,,,,,,,
,,,,,,2021/9/3,786,,,,,,,
,,,,,,2021/9/3,198,,,,,,,
,,,,,,2021/9/2,225,,,,,,,
,,,,,,2021/9/2,274,,,,,,,
,,,,,,2021/9/2,1125,,,,,,,
,,,,,,2021/9/2,0,,,,,,,
,,,,,,2021/10/8,142,,,,,,,
,,,,,,2021/10/8,797,,,,,,,
,,,,,,2021/10/8,399,,,,,,,
,,,,,,2021/10/8,502,,,,,,,
,,,,,,2021/10/8,437,,,,,,,
,,,,,,2021/10/8,50,,,,,,,
,,,,,,2021/8/29,0,,,,,,,
,,,,,,2021/8/29,374,,,,,,,
,,,,,,2021/8/29,0,,,,,,,
,,,,,,2022/8/6,25,,,,,,,
,,,,,,2022/8/6,48,,,,,,,
,,,,,,2022/8/6,100,,,,,,,
,,,,,,2022/8/6,50,,,,,,,
,,,,,,2022/8/6,200,,,,,,,
,,,,,,2022/1/14,0,,,,,,,
,,,,,,2022/1/14,50,,,,,,,
,,,,,,2022/1/14,21,,,,,,,
,,,,,,2021/9/3,0,,,,,,,
,,,,,,2022/4/8,75,,,,,,,
,,,,,,2022/4/8,124,,,,,,,
,,,,,,2022/4/8,71,,,,,,,
,,,,,,2022/4/8,0,,,,,,,
,,,,,,2022/4/8,125,,,,,,,
,,,,,,2021/10/8,1450,,,,,,,
,,,,,,2021/10/8,1396,,,,,,,
,,,,,,2021/10/8,0,,,,,,,
,,,,,,2022/2/9,347,,,,,,,
,,,,,,2022/2/9,548,,,,,,,
,,,,,,2022/2/9,215,,,,,,,
,,,,,,2021/8/29,394,,,,,,,
,,,,,,2021/8/29,672,,,,,,,
,,,,,,2021/8/29,204,,,,,,,
,,,,,,2022/8/6,0,,,,,,,
,,,,,,2022/8/6,75,,,,,,,
,,,,,,2022/8/6,322,,,,,,,
,,,,,,2022/1/14,25,,,,,,,
,,,,,,2022/1/14,150,,,,,,,
,,,,,,2022/8/7,0,,,,,,,
,,,,,,2022/8/7,55,,,,,,,
,,,,,,2022/8/7,50,,,,,,,
,,,,,,2022/4/8,84,,,,,,,
,,,,,,2022/4/8,0,,,,,,,
,,,,,,2022/4/8,1452,,,,,,,
,,,,,,2022/2/9,0,,,,,,,
,,,,,,2022/2/9,0,,,,,,,
,,,,,,2022/2/9,0,,,,,,,
,,,,,,2022/2/9,0,,,,,,,
,,,,,,2022/2/9,0,,,,,,,
,,,,,,2022/2/9,392,,,,,,,
,,,,,,2022/2/9,25,,,,,,,
,,,,,,2022/5/16,0,,,,,,,
,,,,,,2022/8/6,213,,,,,,,
,,,,,,2022/8/6,175,,,,,,,
,,,,,,2022/8/6,125,,,,,,,
,,,,,,2022/8/6,0,,,,,,,
,,,,,,2022/8/6,4,,,,,,,
,,,,,,2021/12/18,48,,,,,,,
,,,,,,2022/8/7,0,,,,,,,
,,,,,,2022/8/7,0,,,,,,,
,,,,,,2022/8/7,148,,,,,,,
,,,,,,2022/8/7,21,,,,,,,
,,,,,,2022/8/7,1362,,,,,,,
,,,,,,2022/8/7,779,,,,,,,
,,,,,,2022/8/7,0,,,,,,,
,,,,,,2022/8/7,0,,,,,,,
,,,,,,2022/8/7,125,,,,,,,
,,,,,,2022/4/8,1113,,,,,,,
,,,,,,2022/4/8,17,,,,,,,
,,,,,,2022/4/8,0,,,,,,,
,,,,,,2022/4/8,2610,,,,,,,
,,,,,,2022/4/8,0,,,,,,,
,,,,,,2022/4/8,621,,,,,,,
,,,,,,2022/4/8,73,,,,,,,
,,,,,,2022/2/9,0,,,,,,,
,,,,,,2022/5/16,170,,,,,,,
,,,,,,2022/5/16,0,,,,,,,
,,,,,,2022/5/16,21,,,,,,,
,,,,,,2022/5/16,66,,,,,,,
,,,,,,2022/5/16,25,,,,,,,
,,,,,,2021/12/18,99,,,,,,,
,,,,,,2021/12/18,46,,,,,,,
,,,,,,2021/12/18,225,,,,,,,
,,,,,,2021/12/18,0,,,,,,,
,,,,,,2022/8/7,75,,,,,,,
,,,,,,2022/8/7,0,,,,,,,
,,,,,,2022/8/7,0,,,,,,,
,,,,,,2022/8/7,0,,,,,,,
,,,,,,2022/4/8,0,,,,,,,
,,,,,,2022/1/19,0,,,,,,,
,,,,,,2022/1/19,62,,,,,,,
,,,,,,2022/1/19,970,,,,,,,
,,,,,,2022/1/19,71,,,,,,,
,,,,,,2021/11/6,48,,,,,,,
,,,,,,2021/11/6,310,,,,,,,
,,,,,,2022/5/16,13,,,,,,,
,,,,,,2022/5/16,17,,,,,,,
,,,,,,2022/5/16,331,,,,,,,
,,,,,,2022/5/16,275,,,,,,,
,,,,,,2021/12/18,150,,,,,,,
,,,,,,2021/12/18,100,,,,,,,
,,,,,,2021/12/18,0,,,,,,,
,,,,,,2022/4/22,0,,,,,,,
,,,,,,2022/4/22,84,,,,,,,
,,,,,,2022/4/22,1290,,,,,,,
,,,,,,2022/4/22,42,,,,,,,
,,,,,,2022/4/22,154,,,,,,,
,,,,,,2022/4/22,142,,,,,,,
,,,,,,2022/4/22,25,,,,,,,
,,,,,,2022/4/23,1114,,,,,,,
,,,,,,2022/4/23,1359,,,,,,,
,,,,,,2022/1/19,76,,,,,,,
,,,,,,2022/1/19,218,,,,,,,
,,,,,,2022/1/19,329,,,,,,,
,,,,,,2022/1/19,700,,,,,,,
,,,,,,2022/1/19,9,,,,,,,
,,,,,,2022/1/19,75,,,,,,,
,,,,,,2022/1/19,418,,,,,,,
,,,,,,2021/12/27,75,,,,,,,
,,,,,,2021/11/6,487,,,,,,,
,,,,,,2021/11/6,393,,,,,,,
,,,,,,2021/11/6,92,,,,,,,
,,,,,,2021/11/6,155,,,,,,,
,,,,,,2022/5/16,71,,,,,,,
,,,,,,2022/5/16,0,,,,,,,
,,,,,,2022/5/16,250,,,,,,,
,,,,,,2022/5/16,0,,,,,,,
,,,,,,2022/5/16,484,,,,,,,
,,,,,,2021/12/18,220,,,,,,,
,,,,,,2021/12/18,0,,,,,,,
,,,,,,2021/12/18,125,,,,,,,
,,,,,,2021/12/18,284,,,,,,,
,,,,,,2022/4/22,525,,,,,,,
,,,,,,2022/4/22,50,,,,,,,
,,,,,,2022/4/22,197,,,,,,,
,,,,,,2022/4/22,100,,,,,,,
,,,,,,2022/4/22,123,,,,,,,
,,,,,,2022/4/22,150,,,,,,,
,,,,,,2022/4/22,0,,,,,,,
,,,,,,2022/4/23,226,,,,,,,
,,,,,,2022/4/23,0,,,,,,,
,,,,,,2022/4/23,0,,,,,,,
,,,,,,2022/4/23,81,,,,,,,
,,,,,,2022/4/23,0,,,,,,,
,,,,,,2021/12/27,0,,,,,,,
,,,,,,2021/12/27,0,,,,,,,
,,,,,,2021/12/27,121,,,,,,,
,,,,,,2021/12/27,0,,,,,,,
,,,,,,2021/12/27,225,,,,,,,
,,,,,,2021/10/24,46,,,,,,,
,,,,,,2021/10/24,599,,,,,,,
,,,,,,2021/10/24,0,,,,,,,
,,,,,,2021/10/24,21,,,,,,,
,,,,,,2021/10/24,692,,,,,,,
,,,,,,2021/12/18,224,,,,,,,
,,,,,,2021/12/18,175,,,,,,,
,,,,,,2021/12/18,0,,,,,,,
,,,,,,2021/12/18,50,,,,,,,
,,,,,,2021/12/18,0,,,,,,,
,,,,,,2022/8/8,0,,,,,,,
,,,,,,2022/4/22,0,,,,,,,
,,,,,,2022/4/22,0,,,,,,,
,,,,,,2022/4/22,0,,,,,,,
,,,,,,2022/4/22,0,,,,,,,
,,,,,,2022/4/22,1664,,,,,,,
,,,,,,2022/4/23,152,,,,,,,
,,,,,,2022/4/23,0,,,,,,,
,,,,,,2022/4/23,0,,,,,,,
,,,,,,2022/4/23,168,,,,,,,
,,,,,,2022/4/23,42,,,,,,,
,,,,,,2021/12/27,0,,,,,,,
,,,,,,2021/12/27,365,,,,,,,
,,,,,,2021/12/27,225,,,,,,,
,,,,,,2021/12/27,625,,,,,,,
,,,,,,2021/11/9,592,,,,,,,
,,,,,,2021/11/9,620,,,,,,,
,,,,,,2021/11/9,0,,,,,,,
,,,,,,2021/11/9,117,,,,,,,
,,,,,,2021/10/24,75,,,,,,,
,,,,,,2021/10/24,0,,,,,,,
,,,,,,2021/10/24,150,,,,,,,
,,,,,,2021/10/24,0,,,,,,,
,,,,,,2021/10/24,0,,,,,,,
,,,,,,2021/10/24,0,,,,,,,
,,,,,,2022/8/8,25,,,,,,,
,,,,,,2022/8/8,0,,,,,,,
,,,,,,2022/8/8,196,,,,,,,
,,,,,,2022/4/22,0,,,,,,,
,,,,,,2022/4/22,0,,,,,,,
,,,,,,2022/4/22,21,,,,,,,
,,,,,,2022/4/22,0,,,,,,,
,,,,,,2022/6/14,25,,,,,,,
,,,,,,2022/6/14,0,,,,,,,
,,,,,,2022/4/23,99,,,,,,,
,,,,,,2022/4/23,1108,,,,,,,
,,,,,,2021/12/27,25,,,,,,,
,,,,,,2021/12/27,300,,,,,,,
,,,,,,2021/12/27,546,,,,,,,
,,,,,,2021/12/27,2145,,,,,,,
,,,,,,2021/12/27,513,,,,,,,
,,,,,,2021/12/27,250,,,,,,,
,,,,,,2021/11/9,325,,,,,,,
,,,,,,2021/11/9,96,,,,,,,
,,,,,,2021/11/9,46,,,,,,,
,,,,,,2022/8/8,100,,,,,,,
,,,,,,2022/8/8,75,,,,,,,
,,,,,,2022/6/14,637,,,,,,,
,,,,,,2022/6/14,75,,,,,,,
,,,,,,2021/11/9,25,,,,,,,
,,,,,,2021/11/9,21,,,,,,,
,,,,,,2021/11/9,46,,,,,,,
,,,,,,2021/11/9,100,,,,,,,
,,,,,,2021/9/24,495,,,,,,,
,,,,,,2022/8/8,0,,,,,,,
,,,,,,2022/8/8,0,,,,,,,
,,,,,,2022/8/8,0,,,,,,,
,,,,,,2022/8/8,0,,,,,,,
,,,,,,2021/12/3,70,,,,,,,
,,,,,,2021/9/24,275,,,,,,,
,,,,,,2021/9/24,0,,,,,,,
,,,,,,2021/9/24,113,,,,,,,
,,,,,,2021/12/3,79,,,,,,,
,,,,,,2021/12/3,250,,,,,,,
,,,,,,2021/12/3,0,,,,,,,
,,,,,,2021/12/3,75,,,,,,,
,,,,,,2021/12/3,0,,,,,,,
,,,,,,2021/12/3,53,,,,,,,
,,,,,,2022/3/11,525,,,,,,,
,,,,,,2022/3/11,325,,,,,,,
,,,,,,2022/3/11,687,,,,,,,
,,,,,,2022/3/11,1198,,,,,,,
,,,,,,2021/9/24,0,,,,,,,
,,,,,,2021/11/12,37,,,,,,,
,,,,,,2021/11/12,25,,,,,,,
,,,,,,2021/11/12,99,,,,,,,
,,,,,,2021/11/12,0,,,,,,,
,,,,,,2021/11/12,0,,,,,,,
,,,,,,2021/11/12,25,,,,,,,
,,,,,,2021/11/12,71,,,,,,,
,,,,,,2021/12/3,75,,,,,,,
,,,,,,2021/12/3,100,,,,,,,
,,,,,,2021/12/3,0,,,,,,,
,,,,,,2021/12/3,0,,,,,,,
,,,,,,2021/12/3,100,,,,,,,
,,,,,,2021/12/3,499,,,,,,,
,,,,,,2022/3/11,0,,,,,,,
,,,,,,2022/3/11,0,,,,,,,
,,,,,,2022/3/11,0,,,,,,,
,,,,,,2022/3/11,19,,,,,,,
,,,,,,2022/3/11,0,,,,,,,
,,,,,,2021/11/12,0,,,,,,,
,,,,,,2021/11/12,638,,,,,,,
,,,,,,2021/11/12,624,,,,,,,
,,,,,,2021/11/12,50,,,,,,,
,,,,,,2021/11/12,50,,,,,,,
,,,,,,2021/11/12,21,,,,,,,
,,,,,,2021/8/23,0,,,,,,,
,,,,,,2022/2/10,474,,,,,,,
,,,,,,2022/2/10,655,,,,,,,
,,,,,,2022/2/10,250,,,,,,,
,,,,,,2022/2/10,201,,,,,,,
,,,,,,2022/6/14,575,,,,,,,
,,,,,,2022/6/14,597,,,,,,,
,,,,,,2022/6/14,355,,,,,,,
,,,,,,2022/6/14,1998,,,,,,,
,,,,,,2022/6/14,0,,,,,,,
,,,,,,2022/6/14,50,,,,,,,
,,,,,,2022/6/14,25,,,,,,,
,,,,,,2022/6/14,837,,,,,,,
,,,,,,2022/8/16,200,,,,,,,
,,,,,,2022/8/16,166,,,,,,,
,,,,,,2022/1/7,25,,,,,,,
,,,,,,2022/3/11,0,,,,,,,
,,,,,,2022/3/11,0,,,,,,,
,,,,,,2022/3/11,0,,,,,,,
,,,,,,2022/3/11,250,,,,,,,
,,,,,,2021/8/23,50,,,,,,,
,,,,,,2021/8/23,100,,,,,,,
,,,,,,2021/8/23,644,,,,,,,
,,,,,,2022/2/10,0,,,,,,,
,,,,,,2022/2/10,0,,,,,,,
,,,,,,2022/2/10,0,,,,,,,
,,,,,,2022/2/10,225,,,,,,,
,,,,,,2022/2/10,0,,,,,,,
,,,,,,2021/12/31,221,,,,,,,
,,,,,,2021/12/31,0,,,,,,,
,,,,,,2021/12/31,0,,,,,,,
,,,,,,2022/6/27,50,,,,,,,
,,,,,,2022/6/27,0,,,,,,,
,,,,,,2022/6/27,100,,,,,,,
,,,,,,2022/6/27,25,,,,,,,
,,,,,,2022/6/27,0,,,,,,,
,,,,,,2022/6/27,125,,,,,,,
,,,,,,2022/8/16,0,,,,,,,
,,,,,,2022/8/16,0,,,,,,,
,,,,,,2022/8/16,0,,,,,,,
,,,,,,2022/8/16,407,,,,,,,
,,,,,,2022/8/16,0,,,,,,,
,,,,,,2022/8/16,25,,,,,,,
,,,,,,2022/1/7,269,,,,,,,
,,,,,,2022/1/7,483,,,,,,,
,,,,,,2022/1/7,100,,,,,,,
,,,,,,2022/1/7,125,,,,,,,
,,,,,,2022/3/28,150,,,,,,,
,,,,,,2021/8/23,850,,,,,,,
,,,,,,2021/8/23,75,,,,,,,
