Date,WorkstationGroupName,ProdWIP,OMTWIP,,,date,ws_group,all_wpd
2022-04-22,16-PH_193NM_NXT1980,0,0,,,2022-07-12,16-PH_193NM_XT,2980
2022-04-22,16-PH_193NM_NXT2000,900,0,,,2022-07-12,16-PH_193NM_XT,2958
2022-04-22,16-PH_193NM_NXT2000,400,0,,,2022-03-22,16-PH_193NM_NXT1980,4638
2022-04-22,16-PH_193NM_NXT1980,0,0,,,2022-03-22,16-PH_193NM_NXT1980,4193
2022-04-22,16-PH_193NM_NXT1980,0,0,,,2022-03-22,16-PH_193NM_NXT1980,4006
2022-04-22,16-PH_193NM_NXT1980,449,0,,,2022-03-22,16-PH_193NM_NXT1980,5088
2022-04-22,16-PH_193NM_NXT1980,3102,1933,,,2022-03-22,16-PH_193NM_NXT1980,4098
2021-09-14,16-PH_193NM_NXT1980,42,0,,,2022-03-22,16-PH_193NM_NXT1980,4818
2021-09-14,16-PH_193NM_XT,146,0,,,2022-03-22,16-PH_193NM_NXT1980,4841
2021-09-14,16-PH_193NM_XT,117,0,,,2022-03-22,16-PH_193NM_NXT1980,4286
2021-09-14,16-PH_193NM_XT,49,0,,,2022-03-22,16-PH_193NM_NXT1980,1590
2021-09-14,16-PH_193NM_XT,0,0,,,2022-03-22,16-PH_193NM_NXT2000,5438
2021-09-14,16-PH_193NM_XT,75,0,,,2022-03-22,16-PH_193NM_NXT2000,1484
2021-09-14,16-PH_193NM_XT,0,0,,,2022-03-22,16-PH_193NM_NXT2000,4614
2021-09-14,16-PH_193NM_NXT1980,0,0,,,2022-03-22,16-PH_193NM_NXT2000,4719
2021-09-14,16-PH_193NM_NXT1980,0,0,,,2022-03-22,16-PH_193NM_NXT2000,3281
2021-09-14,16-PH_193NM_NXT1980,17,0,,,2022-03-22,16-PH_193NM_NXT2000,3107
2021-09-14,16-PH_193NM_NXT1980,521,0,,,2022-03-22,16-PH_193NM_XT,2345
2021-09-14,16-PH_193NM_NXT2000,100,0,,,2022-03-22,16-PH_193NM_XT,3003
2021-09-14,16-PH_193NM_NXT1980,0,0,,,2022-03-22,16-PH_193NM_XT,2345
2021-09-14,16-PH_193NM_NXT2000,425,0,,,2022-03-22,16-PH_193NM_XT,2274
2021-09-14,16-PH_193NM_NXT2000,193,0,,,2022-03-22,16-PH_193NM_XT,2206
2021-09-14,16-PH_193NM_NXT2000,25,0,,,2022-03-22,16-PH_193NM_XT,3723
2021-09-14,16-PH_193NM_NXT1980,50,0,,,2022-03-22,16-PH_193NM_XT,2478
2022-04-22,16-PH_193NM_XT,0,25,,,2022-03-22,16-PH_193NM_XT,2596
2022-04-22,16-PH_193NM_NXT1980,0,822,,,2022-03-22,16-PH_193NM_XT,0
2022-04-22,16-PH_193NM_NXT2000,0,0,,,2021-11-15,16-PH_193NM_NXT1980,5663
2022-04-22,16-PH_193NM_NXT1980,136,145,,,2021-11-15,16-PH_193NM_NXT1980,5184
2022-04-22,16-PH_193NM_XT,80,215,,,2021-11-15,16-PH_193NM_NXT1980,4808
2022-04-22,16-PH_193NM_NXT1980,1008,752,,,2021-11-15,16-PH_193NM_NXT1980,4292
2022-04-22,16-PH_193NM_NXT2000,225,0,,,2021-11-15,16-PH_193NM_NXT1980,5691
2022-04-22,16-PH_193NM_XT,0,75,,,2021-11-15,16-PH_193NM_NXT1980,5546
2022-04-22,16-PH_193NM_NXT2000,87,0,,,2021-11-15,16-PH_193NM_NXT1980,5737
2022-04-22,16-PH_193NM_NXT1980,314,320,,,2021-11-15,16-PH_193NM_NXT1980,3056
2022-04-22,16-PH_193NM_NXT2000,0,0,,,2021-11-15,16-PH_193NM_NXT2000,4345
2022-04-22,16-PH_193NM_NXT1980,124,0,,,2021-11-15,16-PH_193NM_NXT2000,5967
2022-04-22,16-PH_193NM_NXT1980,0,0,,,2021-11-15,16-PH_193NM_NXT2000,5839
2022-04-22,16-PH_193NM_NXT1980,221,0,,,2021-11-15,16-PH_193NM_NXT2000,5432
2022-04-22,16-PH_193NM_NXT2000,483,0,,,2021-11-15,16-PH_193NM_NXT2000,5151
2022-04-22,16-PH_193NM_XT,357,0,,,2021-11-15,16-PH_193NM_XT,3165
2022-04-22,16-PH_193NM_NXT1980,0,0,,,2021-11-15,16-PH_193NM_XT,3010
2022-04-22,16-PH_193NM_NXT2000,405,0,,,2021-11-15,16-PH_193NM_XT,2766
2022-04-22,16-PH_193NM_NXT1980,824,0,,,2021-11-15,16-PH_193NM_XT,3024
2022-04-22,16-PH_193NM_NXT2000,109,0,,,2021-11-15,16-PH_193NM_XT,3030
2022-04-22,16-PH_193NM_NXT2000,0,0,,,2021-11-15,16-PH_193NM_XT,4224
2022-01-13,16-PH_193NM_NXT1980,0,0,,,2021-11-15,16-PH_193NM_XT,2889
2022-01-13,16-PH_193NM_NXT1980,175,0,,,2022-02-14,16-PH_193NM_NXT1980,5316
2022-01-13,16-PH_193NM_NXT1980,88,142,,,2022-02-14,16-PH_193NM_NXT1980,5309
2022-01-13,16-PH_193NM_NXT1980,0,70,,,2022-02-14,16-PH_193NM_NXT1980,5093
2022-01-13,16-PH_193NM_NXT1980,0,0,,,2022-02-14,16-PH_193NM_NXT1980,5007
2022-01-13,16-PH_193NM_XT,121,0,,,2022-02-14,16-PH_193NM_NXT1980,5045
2022-01-13,16-PH_193NM_NXT2000,1225,0,,,2022-02-14,16-PH_193NM_NXT1980,5644
2022-01-13,16-PH_193NM_XT,0,0,,,2022-02-14,16-PH_193NM_NXT1980,5860
2022-01-13,16-PH_193NM_NXT1980,167,0,,,2022-02-14,16-PH_193NM_NXT1980,4973
2022-01-13,16-PH_193NM_NXT1980,0,0,,,2022-02-14,16-PH_193NM_NXT1980,5449
2022-01-13,16-PH_193NM_NXT1980,0,0,,,2022-02-14,16-PH_193NM_NXT2000,5281
2022-01-13,16-PH_193NM_NXT1980,67,0,,,2022-02-14,16-PH_193NM_NXT2000,5074
2022-01-13,16-PH_193NM_NXT1980,0,0,,,2022-02-14,16-PH_193NM_NXT2000,1686
2022-01-13,16-PH_193NM_NXT1980,0,0,,,2022-02-14,16-PH_193NM_NXT2000,5681
2022-07-03,16-PH_193NM_NXT1980,573,266,,,2022-02-14,16-PH_193NM_NXT2000,4253
2022-07-03,16-PH_193NM_NXT1980,0,0,,,2022-02-14,16-PH_193NM_NXT2000,3193
2022-07-03,16-PH_193NM_NXT1980,0,0,,,2022-02-14,16-PH_193NM_XT,2510
2022-07-03,16-PH_193NM_NXT2000,0,0,,,2022-02-14,16-PH_193NM_XT,3113
2022-07-03,16-PH_193NM_NXT2000,350,0,,,2022-02-14,16-PH_193NM_XT,2768
2022-07-03,16-PH_193NM_NXT2000,25,0,,,2022-02-14,16-PH_193NM_XT,2596
2022-07-03,16-PH_193NM_NXT1980,0,1107,,,2022-02-14,16-PH_193NM_XT,1890
2022-07-03,16-PH_193NM_XT,1815,2034,,,2022-02-14,16-PH_193NM_XT,3983
2022-07-03,16-PH_193NM_XT,242,0,,,2022-02-14,16-PH_193NM_XT,3093
2022-07-03,16-PH_193NM_NXT2000,552,0,,,2022-02-14,16-PH_193NM_XT,0
2022-07-03,16-PH_193NM_NXT1980,25,0,,,2022-06-19,16-PH_193NM_NXT1980,5279
2022-07-03,16-PH_193NM_NXT1980,21,0,,,2022-06-19,16-PH_193NM_NXT1980,3887
2022-07-03,16-PH_193NM_NXT1980,229,476,,,2022-06-19,16-PH_193NM_NXT1980,4767
2022-07-03,16-PH_193NM_XT,0,905,,,2022-06-19,16-PH_193NM_NXT1980,1453
2022-07-03,16-PH_193NM_NXT1980,80,0,,,2022-06-19,16-PH_193NM_NXT1980,5494
2022-07-03,16-PH_193NM_XT,0,0,,,2022-06-19,16-PH_193NM_NXT1980,5794
2022-07-03,16-PH_193NM_XT,75,0,,,2022-06-19,16-PH_193NM_NXT1980,5258
2022-04-22,16-PH_193NM_NXT2000,347,0,,,2022-06-19,16-PH_193NM_NXT1980,5691
2022-04-22,16-PH_193NM_XT,100,0,,,2022-06-19,16-PH_193NM_NXT1980,3798
2022-04-22,16-PH_193NM_NXT2000,575,0,,,2022-06-19,16-PH_193NM_NXT2000,4980
2022-04-22,16-PH_193NM_XT,105,0,,,2022-06-19,16-PH_193NM_NXT2000,4888
2022-04-22,16-PH_193NM_XT,100,0,,,2022-06-19,16-PH_193NM_NXT2000,5671
2022-04-22,16-PH_193NM_NXT2000,0,0,,,2022-06-19,16-PH_193NM_NXT2000,5386
2022-04-22,16-PH_193NM_NXT1980,0,0,,,2022-06-19,16-PH_193NM_NXT2000,5093
2022-06-26,16-PH_193NM_XT,75,0,,,2022-06-19,16-PH_193NM_NXT2000,5783
2022-06-26,16-PH_193NM_XT,475,0,,,2022-06-19,16-PH_193NM_XT,3128
2022-06-26,16-PH_193NM_XT,153,0,,,2022-06-19,16-PH_193NM_XT,3014
2022-06-26,16-PH_193NM_NXT1980,0,0,,,2022-06-19,16-PH_193NM_XT,2224
2022-06-26,16-PH_193NM_NXT1980,0,0,,,2022-06-19,16-PH_193NM_XT,2888
2022-06-26,16-PH_193NM_NXT1980,141,0,,,2022-06-19,16-PH_193NM_XT,2828
2022-06-26,16-PH_193NM_NXT1980,197,0,,,2022-06-19,16-PH_193NM_XT,3622
2022-06-26,16-PH_193NM_NXT1980,124,0,,,2022-06-19,16-PH_193NM_XT,2784
2022-06-26,16-PH_193NM_NXT1980,80,64,,,2022-06-19,16-PH_193NM_XT,3427
2022-06-26,16-PH_193NM_XT,125,0,,,2022-06-19,16-PH_193NM_XT,2035
2022-06-26,16-PH_193NM_XT,871,0,,,2022-03-05,16-PH_193NM_NXT1980,5259
2022-06-26,16-PH_193NM_NXT1980,0,0,,,2022-03-05,16-PH_193NM_NXT1980,4802
2022-06-26,16-PH_193NM_XT,0,0,,,2022-03-05,16-PH_193NM_NXT1980,0
2022-06-26,16-PH_193NM_NXT1980,0,0,,,2022-03-05,16-PH_193NM_NXT1980,5299
2022-01-13,16-PH_193NM_NXT2000,0,0,,,2022-03-05,16-PH_193NM_NXT1980,5603
2022-01-13,16-PH_193NM_NXT1980,96,0,,,2022-03-05,16-PH_193NM_NXT1980,5728
2022-01-13,16-PH_193NM_NXT2000,96,0,,,2022-03-05,16-PH_193NM_NXT1980,5843
2022-01-13,16-PH_193NM_XT,50,0,,,2022-03-05,16-PH_193NM_NXT1980,5019
2022-01-13,16-PH_193NM_XT,432,0,,,2022-03-05,16-PH_193NM_NXT1980,5085
2022-01-13,16-PH_193NM_NXT1980,25,0,,,2022-03-05,16-PH_193NM_NXT2000,5797
2022-01-13,16-PH_193NM_XT,0,0,,,2022-03-05,16-PH_193NM_NXT2000,4327
2022-01-13,16-PH_193NM_NXT2000,82,0,,,2022-03-05,16-PH_193NM_NXT2000,5610
2022-01-13,16-PH_193NM_NXT2000,75,0,,,2022-03-05,16-PH_193NM_NXT2000,5607
2022-01-13,16-PH_193NM_NXT1980,25,0,,,2022-03-05,16-PH_193NM_NXT2000,5846
2022-01-13,16-PH_193NM_XT,0,0,,,2022-03-05,16-PH_193NM_NXT2000,5006
2021-12-18,16-PH_193NM_NXT1980,371,0,,,2022-03-05,16-PH_193NM_XT,2633
2021-12-18,16-PH_193NM_NXT2000,696,0,,,2022-03-05,16-PH_193NM_XT,2523
2021-12-18,16-PH_193NM_NXT2000,724,0,,,2022-03-05,16-PH_193NM_XT,3061
2021-12-18,16-PH_193NM_NXT2000,15,0,,,2022-03-05,16-PH_193NM_XT,2774
2021-12-18,16-PH_193NM_NXT2000,42,0,,,2022-03-05,16-PH_193NM_XT,2472
2021-12-18,16-PH_193NM_NXT1980,0,0,,,2022-03-05,16-PH_193NM_XT,4315
2021-12-18,16-PH_193NM_NXT1980,0,0,,,2022-03-05,16-PH_193NM_XT,2975
2021-12-18,16-PH_193NM_NXT2000,75,0,,,2022-03-05,16-PH_193NM_XT,33
2022-07-03,16-PH_193NM_XT,0,366,,,2021-10-25,16-PH_193NM_NXT1980,5474
2022-07-03,16-PH_193NM_NXT1980,125,0,,,2021-10-25,16-PH_193NM_NXT1980,5072
2022-07-03,16-PH_193NM_NXT2000,200,0,,,2021-10-25,16-PH_193NM_NXT1980,4445
2022-07-03,16-PH_193NM_NXT1980,346,0,,,2021-10-25,16-PH_193NM_NXT1980,5219
2022-07-03,16-PH_193NM_NXT1980,92,0,,,2021-10-25,16-PH_193NM_NXT1980,5462
2022-07-03,16-PH_193NM_NXT1980,0,0,,,2021-10-25,16-PH_193NM_NXT1980,5291
2022-07-03,16-PH_193NM_NXT2000,0,0,,,2021-10-25,16-PH_193NM_NXT1980,5931
2022-07-03,16-PH_193NM_NXT1980,50,0,,,2021-10-25,16-PH_193NM_NXT1980,4571
2022-07-03,16-PH_193NM_XT,0,50,,,2021-10-25,16-PH_193NM_NXT2000,5712
2022-07-03,16-PH_193NM_XT,472,0,,,2021-10-25,16-PH_193NM_NXT2000,6068
2022-07-03,16-PH_193NM_NXT1980,686,0,,,2021-10-25,16-PH_193NM_NXT2000,5988
2022-07-03,16-PH_193NM_XT,23,0,,,2021-10-25,16-PH_193NM_NXT2000,5507
2022-07-03,16-PH_193NM_NXT1980,375,0,,,2021-10-25,16-PH_193NM_NXT2000,4815
2022-06-26,16-PH_193NM_XT,263,138,,,2021-10-25,16-PH_193NM_XT,2916
2022-06-26,16-PH_193NM_XT,171,117,,,2021-10-25,16-PH_193NM_XT,2912
2022-06-26,16-PH_193NM_NXT1980,43,181,,,2021-10-25,16-PH_193NM_XT,3006
2022-06-26,16-PH_193NM_NXT1980,596,0,,,2021-10-25,16-PH_193NM_XT,2558
2022-06-26,16-PH_193NM_NXT2000,488,0,,,2021-10-25,16-PH_193NM_XT,3011
2022-06-26,16-PH_193NM_NXT1980,387,0,,,2021-10-25,16-PH_193NM_XT,4343
2022-06-26,16-PH_193NM_XT,220,0,,,2021-10-25,16-PH_193NM_XT,2937
2022-06-26,16-PH_193NM_NXT1980,50,0,,,2022-03-30,16-PH_193NM_NXT1980,0
2022-06-26,16-PH_193NM_NXT2000,554,0,,,2022-03-30,16-PH_193NM_NXT1980,4148
2022-06-26,16-PH_193NM_NXT2000,769,0,,,2022-03-30,16-PH_193NM_NXT1980,4844
2022-06-26,16-PH_193NM_NXT1980,482,0,,,2022-03-30,16-PH_193NM_NXT1980,4707
2022-06-26,16-PH_193NM_NXT2000,0,0,,,2022-03-30,16-PH_193NM_NXT1980,5463
