Date,WIP,,,WIP,,date,all_wpd,,,MOVE,,DATE,WIP,MOVE
2021/11/26,175,,,,,2022/7/4,2488,,,,,,,
2021/11/26,324,,,,,2021/11/10,3138,,,,,,,
2021/10/16,50,,,,,2021/11/10,4013,,,,,,,
2021/10/10,387,,,,,2021/11/10,3128,,,,,,,
2022/5/4,280,,,,,2021/11/14,2885,,,,,,,
2022/5/4,0,,,,,2021/11/14,2957,,,,,,,
2022/5/4,0,,,,,2021/11/14,3039,,,,,,,
2021/11/26,1385,,,,,2021/11/14,3105,,,,,,,
2021/11/26,150,,,,,2021/11/14,4402,,,,,,,
2021/10/16,0,,,,,2021/12/18,3160,,,,,,,
2021/10/16,0,,,,,2022/8/7,2209,,,,,,,
2021/10/16,0,,,,,2022/8/7,4455,,,,,,,
2021/10/16,0,,,,,2022/8/7,3004,,,,,,,
2021/10/16,75,,,,,2022/3/3,2381,,,,,,,
2021/10/16,973,,,,,2022/3/3,3076,,,,,,,
2021/10/16,420,,,,,2022/3/3,185,,,,,,,
2021/10/16,582,,,,,2022/3/3,3154,,,,,,,
2021/10/16,46,,,,,2022/3/3,3174,,,,,,,
2021/10/10,308,,,,,2021/10/23,2921,,,,,,,
2021/10/10,200,,,,,2021/10/23,2977,,,,,,,
2021/10/10,50,,,,,2021/10/23,3028,,,,,,,
2021/9/1,0,,,,,2021/10/23,4339,,,,,,,
2021/9/1,609,,,,,2021/10/23,2166,,,,,,,
2021/9/1,0,,,,,2022/2/19,2763,,,,,,,
2021/9/1,0,,,,,2022/2/19,0,,,,,,,
2022/5/4,0,,,,,2021/11/5,3024,,,,,,,
2022/5/4,554,,,,,2021/11/5,3009,,,,,,,
2022/5/4,0,,,,,2021/11/5,4418,,,,,,,
2022/5/4,0,,,,,2021/11/5,2959,,,,,,,
2021/12/11,0,,,,,2022/3/9,3107,,,,,,,
2021/12/11,50,,,,,2022/3/9,1613,,,,,,,
2021/10/16,29,,,,,2022/3/9,2763,,,,,,,
2021/10/12,665,,,,,2022/3/9,507,,,,,,,
2021/10/10,50,,,,,2022/7/30,3181,,,,,,,
2021/10/10,25,,,,,2022/7/30,2951,,,,,,,
2021/10/10,50,,,,,2022/7/30,2877,,,,,,,
2021/10/10,25,,,,,2022/7/30,2062,,,,,,,
2021/9/1,44,,,,,2022/7/30,3804,,,,,,,
2021/9/1,75,,,,,2022/1/28,3001,,,,,,,
2021/9/1,48,,,,,2022/1/28,3026,,,,,,,
2021/9/1,2,,,,,2022/1/28,2754,,,,,,,
2021/9/1,0,,,,,2022/1/28,0,,,,,,,
2022/3/7,175,,,,,2022/3/10,3054,,,,,,,
2022/3/7,25,,,,,2022/3/10,2394,,,,,,,
2022/3/7,0,,,,,2022/3/10,2706,,,,,,,
2022/5/4,25,,,,,2022/3/10,0,,,,,,,
2022/5/4,75,,,,,2021/12/8,3050,,,,,,,
2022/5/4,0,,,,,2021/12/8,3216,,,,,,,
2021/10/19,774,,,,,2022/1/8,2909,,,,,,,
2021/12/11,259,,,,,2022/1/8,3213,,,,,,,
2021/12/11,0,,,,,2022/1/8,2795,,,,,,,
2021/12/11,0,,,,,2022/1/8,4185,,,,,,,
2021/12/11,0,,,,,2022/6/16,3200,,,,,,,
2021/12/11,26,,,,,2022/6/16,2008,,,,,,,
2021/12/11,101,,,,,2022/6/16,3742,,,,,,,
2021/10/12,0,,,,,2022/6/16,2967,,,,,,,
2021/10/12,175,,,,,2022/4/13,2670,,,,,,,
2021/10/12,0,,,,,2022/4/13,2117,,,,,,,
2021/10/10,37,,,,,2022/4/13,2984,,,,,,,
2021/10/10,0,,,,,2022/4/13,2775,,,,,,,
2021/10/10,25,,,,,2022/4/13,3942,,,,,,,
2021/10/10,231,,,,,2022/4/13,0,,,,,,,
2022/3/7,23,,,,,2022/3/4,2367,,,,,,,
2022/3/7,50,,,,,2022/3/4,1160,,,,,,,
2022/5/4,0,,,,,2022/3/4,2332,,,,,,,
2022/5/4,0,,,,,2021/10/31,3034,,,,,,,
2021/10/19,123,,,,,2021/10/31,3021,,,,,,,
2021/10/19,75,,,,,2021/10/31,2445,,,,,,,
2021/10/19,102,,,,,2021/10/31,3151,,,,,,,
2021/10/19,75,,,,,2021/10/31,1975,,,,,,,
2021/10/12,0,,,,,2022/4/11,4011,,,,,,,
2022/3/7,1239,,,,,2022/4/11,3270,,,,,,,
2022/3/7,80,,,,,2022/4/11,0,,,,,,,
2021/8/23,25,,,,,2021/12/14,2850,,,,,,,
2021/8/23,50,,,,,2021/12/14,1294,,,,,,,
2021/8/23,50,,,,,2022/2/10,3205,,,,,,,
2021/8/23,566,,,,,2022/2/10,3070,,,,,,,
2021/8/23,0,,,,,2022/2/10,0,,,,,,,
2021/10/19,46,,,,,2022/1/20,3050,,,,,,,
2021/10/19,0,,,,,2022/1/20,3114,,,,,,,
2021/12/11,221,,,,,2022/1/20,2479,,,,,,,
2021/12/11,125,,,,,2022/1/20,3216,,,,,,,
2021/12/11,6,,,,,2022/1/20,0,,,,,,,
2021/12/11,197,,,,,2022/5/16,3062,,,,,,,
2021/12/11,50,,,,,2022/5/16,3007,,,,,,,
2021/12/11,150,,,,,2022/5/16,2964,,,,,,,
2021/9/27,482,,,,,2022/5/16,1161,,,,,,,
2021/9/27,244,,,,,2022/5/16,4010,,,,,,,
2021/9/27,67,,,,,2022/5/16,25,,,,,,,
2021/10/12,200,,,,,2022/3/13,1576,,,,,,,
2021/10/12,150,,,,,2022/3/13,2477,,,,,,,
2022/3/7,685,,,,,2022/3/13,589,,,,,,,
2022/3/7,0,,,,,2022/4/10,2546,,,,,,,
2022/3/7,0,,,,,2022/4/10,2757,,,,,,,
2021/8/23,0,,,,,2022/4/10,3012,,,,,,,
2021/8/23,81,,,,,2021/12/1,3217,,,,,,,
2021/10/19,50,,,,,2021/12/1,2637,,,,,,,
2021/10/19,283,,,,,2021/12/1,4181,,,,,,,
2021/10/19,0,,,,,2022/7/29,2761,,,,,,,
2021/10/19,0,,,,,2022/7/29,2781,,,,,,,
2021/10/19,72,,,,,2022/7/29,2742,,,,,,,
2021/11/28,250,,,,,2022/7/29,3761,,,,,,,
2021/11/28,0,,,,,2022/8/9,0,,,,,,,
2021/11/28,150,,,,,2022/8/9,3125,,,,,,,
2021/11/28,271,,,,,2022/8/9,2176,,,,,,,
2021/11/28,75,,,,,2022/8/9,4207,,,,,,,
2021/11/28,1260,,,,,2022/8/9,3111,,,,,,,
2021/11/28,818,,,,,2022/8/9,2574,,,,,,,
2021/9/27,0,,,,,2022/8/9,2862,,,,,,,
2021/9/27,0,,,,,2022/1/15,2498,,,,,,,
2021/9/27,75,,,,,2022/1/15,3023,,,,,,,
2021/8/23,0,,,,,2022/1/15,3160,,,,,,,
2021/8/23,0,,,,,2022/4/5,2947,,,,,,,
2021/8/23,317,,,,,2022/4/5,2328,,,,,,,
2021/11/28,0,,,,,2022/4/5,1286,,,,,,,
2021/11/28,122,,,,,2022/3/16,2389,,,,,,,
2021/11/28,281,,,,,2022/3/16,2786,,,,,,,
2021/11/28,71,,,,,2022/3/16,158,,,,,,,
2021/11/28,142,,,,,2022/3/16,833,,,,,,,
2021/11/28,321,,,,,2022/1/24,3197,,,,,,,
2021/11/28,75,,,,,2022/1/24,1096,,,,,,,
2021/11/28,42,,,,,2022/1/24,0,,,,,,,
2021/9/27,75,,,,,2022/1/18,2954,,,,,,,
2021/9/27,0,,,,,2022/1/18,3161,,,,,,,
2021/12/24,0,,,,,2022/1/18,1609,,,,,,,
2021/12/24,25,,,,,2022/1/18,2959,,,,,,,
2021/12/24,63,,,,,2022/7/24,2833,,,,,,,
2021/11/28,219,,,,,2022/7/24,4283,,,,,,,
2021/11/28,250,,,,,2022/7/24,3157,,,,,,,
2021/9/27,599,,,,,2022/3/26,3264,,,,,,,
2021/9/27,25,,,,,2022/3/26,4024,,,,,,,
2021/9/27,303,,,,,2022/3/26,0,,,,,,,
2021/9/27,174,,,,,2022/6/14,3173,,,,,,,
2021/9/27,0,,,,,2022/6/14,2011,,,,,,,
2021/12/24,273,,,,,2022/7/5,2827,,,,,,,
2021/12/24,0,,,,,2022/8/15,3210,,,,,,,
2021/12/24,42,,,,,2022/8/15,2615,,,,,,,
2022/2/19,1754,,,,,2022/8/15,2805,,,,,,,
2022/2/19,121,,,,,2022/8/15,3120,,,,,,,
2022/2/19,225,,,,,2022/2/13,3115,,,,,,,
2022/2/19,576,,,,,2022/2/13,2820,,,,,,,
2021/11/28,271,,,,,2022/2/13,3948,,,,,,,
2021/11/28,119,,,,,2022/2/13,2968,,,,,,,
2021/11/28,283,,,,,2022/3/24,2493,,,,,,,
2021/11/28,100,,,,,2022/3/24,3027,,,,,,,
2021/9/3,200,,,,,2022/3/24,50,,,,,,,
2021/9/2,125,,,,,2022/3/24,587,,,,,,,
2021/12/24,50,,,,,2022/3/24,4102,,,,,,,
2021/12/24,196,,,,,2022/3/24,2013,,,,,,,
2021/12/24,21,,,,,2022/3/24,2478,,,,,,,
2021/12/24,21,,,,,2022/3/24,0,,,,,,,
2021/12/24,204,,,,,2021/11/22,2748,,,,,,,
2021/12/24,24,,,,,2021/11/22,3104,,,,,,,
2021/8/29,388,,,,,2021/11/22,2760,,,,,,,
2021/8/29,0,,,,,2021/11/22,4270,,,,,,,
2021/8/29,0,,,,,2021/11/22,2519,,,,,,,
2021/8/29,0,,,,,2021/12/25,344,,,,,,,
2021/8/29,24,,,,,2021/12/25,2543,,,,,,,
2021/8/23,0,,,,,2021/12/25,669,,,,,,,
2021/8/23,25,,,,,2021/12/25,2893,,,,,,,
2021/8/23,0,,,,,2022/2/20,3057,,,,,,,
2022/2/19,364,,,,,2022/2/20,2737,,,,,,,
2022/2/19,540,,,,,2022/4/27,2443,,,,,,,
2022/2/19,275,,,,,2022/4/27,2455,,,,,,,
2022/2/19,184,,,,,2022/4/27,75,,,,,,,
2022/2/19,75,,,,,2022/4/27,3233,,,,,,,
2022/2/19,193,,,,,2022/4/27,3553,,,,,,,
2022/1/14,443,,,,,2022/2/5,3147,,,,,,,
2022/1/14,209,,,,,2022/2/5,2717,,,,,,,
2022/1/14,48,,,,,2022/2/5,2739,,,,,,,
2021/9/3,109,,,,,2022/2/5,0,,,,,,,
2021/9/3,146,,,,,2022/2/8,2862,,,,,,,
2021/9/3,297,,,,,2022/2/8,4399,,,,,,,
2021/9/3,246,,,,,2022/2/8,1858,,,,,,,
2021/9/3,0,,,,,2022/2/8,0,,,,,,,
2021/9/3,1310,,,,,2022/1/19,2824,,,,,,,
2021/9/2,0,,,,,2022/1/19,2640,,,,,,,
2021/9/2,315,,,,,2022/1/19,3047,,,,,,,
2021/9/2,71,,,,,2022/2/23,3024,,,,,,,
2021/12/24,0,,,,,2022/2/23,2892,,,,,,,
2021/12/24,75,,,,,2022/2/23,1880,,,,,,,
2021/10/8,25,,,,,2022/2/23,0,,,,,,,
2021/10/8,75,,,,,2022/4/29,2384,,,,,,,
2021/8/29,117,,,,,2022/4/29,3020,,,,,,,
2021/8/29,0,,,,,2022/4/29,2377,,,,,,,
2021/8/29,0,,,,,2022/4/29,2533,,,,,,,
2021/8/29,538,,,,,2022/4/29,3117,,,,,,,
2021/8/29,200,,,,,2022/4/29,2752,,,,,,,
2021/8/29,0,,,,,2021/11/23,1209,,,,,,,
2021/8/23,0,,,,,2022/1/7,3244,,,,,,,
2021/8/23,323,,,,,2022/5/2,2588,,,,,,,
2021/8/23,887,,,,,2022/5/2,2499,,,,,,,
2021/8/23,75,,,,,2022/5/2,2893,,,,,,,
2021/8/23,50,,,,,2022/5/2,3150,,,,,,,
2021/8/23,181,,,,,2022/5/2,2999,,,,,,,
2022/2/19,25,,,,,2022/5/2,2077,,,,,,,
2022/2/19,277,,,,,2022/4/18,2961,,,,,,,
2022/1/14,0,,,,,2022/4/18,4182,,,,,,,
2022/1/14,0,,,,,2022/4/18,2944,,,,,,,
2022/1/14,25,,,,,2022/4/18,175,,,,,,,
2021/9/3,250,,,,,2022/1/17,3026,,,,,,,
2021/9/3,17,,,,,2022/1/17,4141,,,,,,,
2021/9/3,142,,,,,2022/4/15,2742,,,,,,,
2021/9/2,102,,,,,2022/4/15,1844,,,,,,,
2021/9/2,50,,,,,2022/4/15,3116,,,,,,,
2022/4/8,0,,,,,2022/7/27,3063,,,,,,,
2021/10/8,25,,,,,2022/7/27,2851,,,,,,,
2021/10/8,0,,,,,2022/7/27,3739,,,,,,,
2021/10/8,0,,,,,2022/7/27,3649,,,,,,,
2021/10/8,225,,,,,2022/6/17,2971,,,,,,,
2021/10/8,0,,,,,2022/6/17,3451,,,,,,,
2021/8/29,0,,,,,2022/6/17,2165,,,,,,,
2021/8/29,71,,,,,2022/7/28,3233,,,,,,,
2021/8/29,0,,,,,2022/7/28,2974,,,,,,,
2021/8/29,0,,,,,2022/7/28,2905,,,,,,,
2021/8/29,1006,,,,,2022/7/28,2742,,,,,,,
2021/8/29,25,,,,,2022/7/28,2534,,,,,,,
2021/8/24,31,,,,,2022/7/28,4120,,,,,,,
2022/8/6,224,,,,,2022/7/28,3017,,,,,,,
2022/8/6,25,,,,,2022/3/18,2495,,,,,,,
2022/8/6,150,,,,,2022/3/18,2832,,,,,,,
2022/8/6,2501,,,,,2022/3/18,2893,,,,,,,
2022/8/6,1790,,,,,2022/3/18,969,,,,,,,
2022/1/14,73,,,,,2022/3/18,154,,,,,,,
2022/1/14,0,,,,,2022/3/18,2692,,,,,,,
2021/9/3,50,,,,,2022/3/18,3289,,,,,,,
2021/9/3,25,,,,,2022/3/18,0,,,,,,,
2021/9/3,0,,,,,2021/11/27,3059,,,,,,,
2021/9/3,71,,,,,2021/11/27,3039,,,,,,,
2021/10/8,0,,,,,2021/11/27,2895,,,,,,,
2022/2/9,336,,,,,2021/11/27,2752,,,,,,,
2022/2/9,125,,,,,2021/11/27,4237,,,,,,,
2022/2/9,92,,,,,2021/11/27,2830,,,,,,,
2022/2/9,189,,,,,2021/11/28,3191,,,,,,,
2021/8/29,0,,,,,2021/11/28,3014,,,,,,,
2021/8/29,333,,,,,2021/11/28,3176,,,,,,,
2021/8/29,0,,,,,2022/6/20,2008,,,,,,,
2021/8/29,523,,,,,2022/6/20,3425,,,,,,,
2022/8/6,117,,,,,2022/6/20,2787,,,,,,,
2022/8/6,1470,,,,,2022/7/20,2593,,,,,,,
2022/8/6,740,,,,,2022/7/20,4135,,,,,,,
2022/1/14,0,,,,,2022/7/20,3313,,,,,,,
2022/8/7,846,,,,,2022/3/25,2832,,,,,,,
2022/4/8,167,,,,,2022/3/25,2993,,,,,,,
2022/4/8,0,,,,,2022/3/25,0,,,,,,,
2022/4/8,50,,,,,2022/3/25,3027,,,,,,,
2022/2/9,46,,,,,2022/3/25,2156,,,,,,,
2022/2/9,1942,,,,,2021/11/30,2978,,,,,,,
2022/2/9,591,,,,,2021/11/30,2889,,,,,,,
2022/2/9,0,,,,,2021/11/30,3030,,,,,,,
2022/2/9,100,,,,,2021/11/30,4315,,,,,,,
2022/2/9,0,,,,,2021/11/30,3002,,,,,,,
2022/5/16,0,,,,,2022/6/3,3214,,,,,,,
2022/5/16,0,,,,,2022/6/3,2815,,,,,,,
2022/8/6,96,,,,,2022/6/3,1695,,,,,,,
2022/8/6,499,,,,,2022/2/25,3278,,,,,,,
2022/8/6,25,,,,,2022/2/25,0,,,,,,,
2022/8/6,274,,,,,2022/2/25,3065,,,,,,,
2022/8/6,25,,,,,2022/2/25,2130,,,,,,,
2022/8/7,1372,,,,,2022/2/25,3127,,,,,,,
2022/8/7,143,,,,,2022/2/25,0,,,,,,,
2022/8/7,1541,,,,,2022/3/2,2740,,,,,,,
2022/4/8,99,,,,,2022/3/2,3128,,,,,,,
2022/4/8,100,,,,,2022/3/2,3581,,,,,,,
2021/11/6,239,,,,,2022/3/2,3129,,,,,,,
2022/5/16,50,,,,,2022/3/2,7,,,,,,,
2022/5/16,75,,,,,2022/7/31,2802,,,,,,,
2022/5/16,110,,,,,2022/7/31,2747,,,,,,,
2022/5/16,50,,,,,2022/7/31,3162,,,,,,,
2022/5/16,122,,,,,2022/5/31,3203,,,,,,,
2022/5/16,201,,,,,2022/5/31,1168,,,,,,,
2021/12/18,250,,,,,2022/5/31,3489,,,,,,,
2021/12/18,0,,,,,2022/5/31,2240,,,,,,,
2021/12/18,50,,,,,2022/5/31,3157,,,,,,,
2021/12/18,727,,,,,2022/7/8,2932,,,,,,,
2022/8/7,25,,,,,2022/7/8,2814,,,,,,,
2022/8/7,75,,,,,2022/7/8,4039,,,,,,,
2022/8/7,1061,,,,,2022/7/8,2643,,,,,,,
2022/8/7,0,,,,,2022/7/8,3141,,,,,,,
2022/8/7,0,,,,,2022/7/8,2866,,,,,,,
2022/8/7,721,,,,,2022/6/22,1460,,,,,,,
2022/8/7,100,,,,,2022/6/22,2990,,,,,,,
2022/4/8,0,,,,,2022/6/22,2943,,,,,,,
2022/1/19,250,,,,,2021/12/5,1465,,,,,,,
2022/1/19,0,,,,,2022/8/4,2926,,,,,,,
2022/1/19,25,,,,,2022/8/4,2789,,,,,,,
2022/1/19,0,,,,,2022/8/4,2837,,,,,,,
2021/11/6,414,,,,,2022/8/4,3404,,,,,,,
2021/11/6,0,,,,,2022/8/4,2140,,,,,,,
2021/11/6,0,,,,,2022/7/1,255,,,,,,,
2021/11/6,339,,,,,2022/7/1,2519,,,,,,,
2022/5/16,119,,,,,2022/7/1,2278,,,,,,,
2022/5/16,50,,,,,2022/6/27,4073,,,,,,,
2021/12/18,0,,,,,2022/6/27,3022,,,,,,,
2021/12/18,50,,,,,2022/6/27,3378,,,,,,,
2021/12/18,36,,,,,2022/6/27,3161,,,,,,,
2021/12/18,88,,,,,2022/3/21,2046,,,,,,,
2022/4/22,100,,,,,2022/3/21,3024,,,,,,,
2022/4/23,113,,,,,2022/3/21,2891,,,,,,,
2022/1/19,0,,,,,2022/3/21,1590,,,,,,,
2022/1/19,0,,,,,2022/3/21,2826,,,,,,,
2022/1/19,25,,,,,2022/2/22,2442,,,,,,,
2022/1/19,0,,,,,2022/2/22,3115,,,,,,,
2022/1/19,0,,,,,2022/2/22,2446,,,,,,,
2021/11/6,75,,,,,2022/6/28,2840,,,,,,,
2021/11/6,25,,,,,2022/6/28,3431,,,,,,,
2022/5/16,9,,,,,2022/6/28,3004,,,,,,,
2022/5/16,275,,,,,2022/2/16,3056,,,,,,,
2022/5/16,326,,,,,2022/2/16,3071,,,,,,,
2021/10/24,50,,,,,2022/2/16,3068,,,,,,,
2021/12/18,0,,,,,2022/2/16,2720,,,,,,,
2021/12/18,100,,,,,2022/2/16,2577,,,,,,,
2021/12/18,0,,,,,2022/2/16,3903,,,,,,,
2021/12/18,48,,,,,2022/2/16,2395,,,,,,,
2021/12/18,0,,,,,2022/6/10,802,,,,,,,
2022/4/22,0,,,,,2022/6/10,2773,,,,,,,
2022/4/22,50,,,,,2022/6/10,2731,,,,,,,
2022/4/23,1563,,,,,2022/6/30,2607,,,,,,,
2022/4/23,0,,,,,2022/6/30,2909,,,,,,,
2022/4/23,351,,,,,2022/6/30,3408,,,,,,,
2022/4/23,75,,,,,2022/6/30,1824,,,,,,,
2022/4/23,98,,,,,2022/4/28,2817,,,,,,,
2022/4/23,0,,,,,2022/4/28,2643,,,,,,,
2021/12/27,46,,,,,2022/4/28,2776,,,,,,,
2021/12/27,175,,,,,2022/4/28,1366,,,,,,,
2021/12/27,71,,,,,2022/4/28,3581,,,,,,,
2021/12/27,4,,,,,2021/12/20,2966,,,,,,,
2021/12/27,0,,,,,2021/12/20,2845,,,,,,,
2021/10/24,500,,,,,2021/12/20,79,,,,,,,
2021/10/24,25,,,,,2021/12/23,3108,,,,,,,
2021/10/24,50,,,,,2021/12/23,1840,,,,,,,
2021/10/24,0,,,,,2021/12/23,2536,,,,,,,
2021/10/24,25,,,,,2021/12/23,2928,,,,,,,
2021/12/18,849,,,,,2021/12/22,2594,,,,,,,
2021/12/18,445,,,,,2021/12/22,3099,,,,,,,
2022/4/22,0,,,,,2022/8/13,2582,,,,,,,
2022/4/22,21,,,,,2022/8/13,2787,,,,,,,
2022/4/23,325,,,,,2022/8/13,2432,,,,,,,
2022/4/23,0,,,,,2022/8/13,2861,,,,,,,
2022/4/23,0,,,,,2022/7/26,2764,,,,,,,
2021/12/27,100,,,,,2022/7/26,3623,,,,,,,
2021/12/27,0,,,,,2022/8/5,3512,,,,,,,
2021/12/27,248,,,,,2022/8/5,1019,,,,,,,
2021/11/9,0,,,,,2022/4/23,3024,,,,,,,
2021/11/9,0,,,,,2022/4/23,2992,,,,,,,
2021/11/9,173,,,,,2022/4/23,3791,,,,,,,
2021/11/9,25,,,,,2022/4/23,2045,,,,,,,
2021/11/9,1342,,,,,2022/4/23,2142,,,,,,,
2021/10/24,95,,,,,2022/5/1,2255,,,,,,,
2021/10/24,429,,,,,2022/5/1,3406,,,,,,,
2022/8/8,0,,,,,2022/5/1,3210,,,,,,,
2022/8/8,669,,,,,2022/5/1,2792,,,,,,,
2022/8/8,50,,,,,2021/12/31,3090,,,,,,,
2022/8/8,0,,,,,2021/12/31,4123,,,,,,,
2022/4/22,981,,,,,2021/12/31,3067,,,,,,,
2022/4/22,167,,,,,2022/6/8,3252,,,,,,,
2022/6/14,667,,,,,2022/6/8,0,,,,,,,
2022/6/14,88,,,,,2022/6/8,3114,,,,,,,
2022/6/14,221,,,,,2022/6/8,1941,,,,,,,
2022/4/23,235,,,,,2022/1/2,3131,,,,,,,
2022/4/23,0,,,,,2022/1/2,2875,,,,,,,
2022/4/23,0,,,,,2022/1/2,3206,,,,,,,
2022/4/23,1314,,,,,2022/3/12,893,,,,,,,
2022/4/23,71,,,,,2022/3/12,50,,,,,,,
2021/12/27,25,,,,,2022/5/4,3041,,,,,,,
2021/12/27,118,,,,,2022/5/4,2575,,,,,,,
2021/12/27,100,,,,,2022/5/4,1325,,,,,,,
2021/12/27,400,,,,,2022/5/4,3222,,,,,,,
2021/12/27,225,,,,,2022/5/4,3085,,,,,,,
2021/11/9,1,,,,,2022/5/4,2855,,,,,,,
2021/11/9,272,,,,,2022/5/4,1684,,,,,,,
2022/8/8,21,,,,,2022/4/26,3143,,,,,,,
2022/8/8,21,,,,,2022/4/26,192,,,,,,,
2022/8/8,3,,,,,2022/4/26,3782,,,,,,,
2022/8/8,0,,,,,2022/4/26,2172,,,,,,,
2022/8/8,223,,,,,2022/1/3,3159,,,,,,,
2022/8/8,253,,,,,2022/1/3,2280,,,,,,,
2022/6/14,517,,,,,2022/1/3,3954,,,,,,,
2022/6/14,0,,,,,2022/5/25,2986,,,,,,,
2022/6/14,25,,,,,2022/5/25,2380,,,,,,,
2022/6/14,50,,,,,2022/5/25,2844,,,,,,,
2022/6/14,0,,,,,2022/5/25,2628,,,,,,,
2021/12/27,116,,,,,2022/5/25,3960,,,,,,,
2021/12/27,150,,,,,2022/5/25,2412,,,,,,,
2021/12/27,25,,,,,2022/5/25,2199,,,,,,,
2021/12/27,574,,,,,2022/2/11,3140,,,,,,,
2021/12/27,163,,,,,2022/2/11,2908,,,,,,,
2021/11/9,167,,,,,2022/2/11,4115,,,,,,,
2021/9/24,448,,,,,2022/5/28,1104,,,,,,,
2021/9/24,74,,,,,2022/5/28,3210,,,,,,,
2021/9/24,77,,,,,2022/5/28,1778,,,,,,,
2022/8/8,0,,,,,2022/1/10,3047,,,,,,,
2022/8/8,0,,,,,2022/1/10,2633,,,,,,,
2021/12/3,476,,,,,2022/1/10,3080,,,,,,,
2021/12/3,919,,,,,2022/1/10,3015,,,,,,,
2021/12/3,1252,,,,,2022/1/10,3063,,,,,,,
2021/12/3,75,,,,,2022/5/10,2888,,,,,,,
2021/12/3,124,,,,,2022/5/10,2887,,,,,,,
2021/9/24,100,,,,,2022/5/10,2536,,,,,,,
2021/9/24,0,,,,,2022/5/10,3658,,,,,,,
2021/9/24,0,,,,,2022/5/10,2915,,,,,,,
2021/9/24,300,,,,,2022/5/11,3107,,,,,,,
2021/9/24,96,,,,,2022/5/11,2002,,,,,,,
2021/12/3,0,,,,,2022/5/11,2360,,,,,,,
2021/12/3,0,,,,,2022/4/21,2843,,,,,,,
2021/12/3,148,,,,,2022/4/21,2973,,,,,,,
2021/12/3,125,,,,,2022/4/21,2842,,,,,,,
2021/12/3,25,,,,,2022/4/21,3629,,,,,,,
2021/12/3,136,,,,,2022/4/21,3050,,,,,,,
2022/3/11,0,,,,,2022/4/21,362,,,,,,,
2021/9/24,294,,,,,2022/5/30,3172,,,,,,,
2021/11/12,25,,,,,2022/5/30,2865,,,,,,,
2021/11/12,173,,,,,2022/5/30,2571,,,,,,,
2021/11/12,0,,,,,2022/5/30,2041,,,,,,,
2021/11/12,0,,,,,2022/5/7,2899,,,,,,,
2021/12/3,0,,,,,2022/5/7,3157,,,,,,,
2021/12/3,623,,,,,2022/1/14,3102,,,,,,,
2021/12/3,0,,,,,2022/1/14,3203,,,,,,,
2021/12/3,124,,,,,2022/1/14,4346,,,,,,,
2021/12/3,125,,,,,2022/1/14,2457,,,,,,,
2021/12/3,127,,,,,2022/6/7,3139,,,,,,,
2021/12/3,87,,,,,2022/5/8,2262,,,,,,,
2021/12/3,352,,,,,2022/5/8,2942,,,,,,,
2021/12/3,0,,,,,2022/5/8,3868,,,,,,,
2021/12/3,0,,,,,2022/5/8,3731,,,,,,,
2022/3/11,1784,,,,,2022/7/9,3164,,,,,,,
2022/3/11,0,,,,,2022/7/9,4220,,,,,,,
2021/11/12,213,,,,,2022/7/9,3202,,,,,,,
2021/11/12,246,,,,,2022/7/9,3835,,,,,,,
2021/11/12,171,,,,,2022/7/9,3076,,,,,,,
2021/11/12,0,,,,,2022/5/18,2509,,,,,,,
2021/11/12,75,,,,,2022/5/18,2933,,,,,,,
2021/11/12,0,,,,,2022/5/18,3032,,,,,,,
2021/11/12,0,,,,,2022/5/18,3300,,,,,,,
2021/8/23,38,,,,,2022/6/7,1323,,,,,,,
2022/2/10,25,,,,,2022/2/2,3242,,,,,,,
2022/2/10,0,,,,,2022/2/2,2838,,,,,,,
2022/2/10,150,,,,,2022/2/2,2045,,,,,,,
2022/6/14,1568,,,,,2022/2/2,2687,,,,,,,
2022/6/14,775,,,,,2022/2/2,3989,,,,,,,
2022/6/14,0,,,,,2022/7/15,1976,,,,,,,
2022/8/16,120,,,,,2022/7/15,1345,,,,,,,
2022/8/16,122,,,,,2022/7/15,2791,,,,,,,
2022/3/11,0,,,,,2022/7/15,2452,,,,,,,
2022/3/11,2,,,,,2022/7/15,2321,,,,,,,
2022/3/11,0,,,,,2022/6/21,3108,,,,,,,
2022/3/11,275,,,,,2022/6/21,1638,,,,,,,
2021/8/23,127,,,,,2022/6/21,2916,,,,,,,
2021/8/23,0,,,,,2022/6/21,3907,,,,,,,
2021/8/23,50,,,,,2022/6/21,3033,,,,,,,
2022/2/10,212,,,,,2022/6/21,2289,,,,,,,
2022/2/10,475,,,,,2022/2/4,2452,,,,,,,
2022/2/10,0,,,,,2022/2/4,2898,,,,,,,
2022/2/10,50,,,,,2022/2/4,3630,,,,,,,
2021/12/31,25,,,,,2022/2/4,3168,,,,,,,
2021/12/31,46,,,,,2022/2/4,0,,,,,,,
2021/12/31,100,,,,,2022/2/24,3047,,,,,,,
2021/12/31,0,,,,,2022/2/24,0,,,,,,,
2021/12/31,0,,,,,2022/2/24,3065,,,,,,,
2021/12/31,292,,,,,2022/2/24,0,,,,,,,
2022/6/14,0,,,,,2022/6/12,1736,,,,,,,
2022/6/27,50,,,,,2022/6/12,2887,,,,,,,
2022/6/27,134,,,,,2022/6/12,2601,,,,,,,
2022/8/16,381,,,,,2022/6/5,1083,,,,,,,
2022/8/16,625,,,,,2022/3/20,2016,,,,,,,
2022/8/16,0,,,,,2022/3/20,2006,,,,,,,
