date,WIP,MOVE
2022-5-11,2705,86897
2022-5-12,12670,89215
2022-5-13,4802,88019
2022-5-14,6437,88482
2022-5-15,3489,92178
2022-5-16,11376,92507
2022-5-17,3141,90458
2022-5-18,11933,88487
2022-5-20,2361,86973
2022-5-21,2995,89855
2022-5-22,7487,93271
2022-5-23,17589,98096
2022-5-24,5908,93121
2022-5-25,2772,90269
2022-5-27,9136,92048
2022-5-28,4118,88161
2022-5-29,5548,91370
2022-5-30,4194,95367
2022-5-31,3638,94845
2022-6-1,14880,95343
2022-6-2,4413,92676
2022-6-3,19963,91432
2022-6-4,2284,98431
2022-6-5,13159,96623
2022-6-6,1289,91886
2022-6-7,9751,90001
2022-6-12,17435,90147
2022-6-13,1828,87685
2022-6-14,12066,90513
2022-6-16,11387,86924
2022-6-17,1853,87549
2022-6-18,6301,93268
2022-6-19,3571,95618
2022-6-20,7489,92972
2022-6-21,5574,89247
2022-6-22,3466,91298
2022-6-24,3935,94114
2022-6-25,3255,91152
2022-6-26,9062,96598
2022-6-27,10525,95153
2022-6-29,4446,90816
2022-6-30,2721,91525
2022-7-2,9133,89231
2022-7-3,12162,89797
2022-7-4,10293,64705
2022-7-5,8872,88515
2022-7-6,4813,94048
2022-7-7,2518,92869
2022-7-8,2916,97775
2022-7-9,3840,101983
2022-7-10,2952,98064
2022-7-11,12129,101549
2022-7-12,9906,96523
2022-7-13,2909,94027
2022-7-14,6824,96944
2022-7-15,2181,98025
2022-7-17,2853,99903
2022-7-18,8446,100979
2022-7-19,5368,95484
2022-7-20,1338,95873
2022-7-21,4002,95351
2022-7-22,2387,94704
2022-7-23,7230,98851
2022-7-24,7314,91676
2022-7-28,5097,98315
2022-7-31,13022,101391
